,precinct,race,candidate,party,votes
0,"City of Ishpeming,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,953
1,"City of Ishpeming,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,568.0
2,"City of Ishpeming,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,19
3,"City of Ishpeming,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,540"
4,"City of Ishpeming,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
5,"City of Ishpeming,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,2.0
6,"City of Ishpeming,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,004"
7,"City of Ishpeming,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,524.0
8,"City of Ishpeming,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,25
9,"City of Ishpeming,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,553"
10,"City of Ishpeming,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
11,"City of Ishpeming,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,1.0
12,"City of Marquette,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,006"
13,"City of Marquette,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,542.0
14,"City of Marquette,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,18
15,"City of Marquette,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,566"
16,"City of Marquette,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
17,"City of Marquette,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,3.0
18,"City of Marquette,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,170"
19,"City of Marquette,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,480.0
20,"City of Marquette,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,25
21,"City of Marquette,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,675"
22,"City of Marquette,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
23,"City of Marquette,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,3.0
24,"City of Marquette,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,958
25,"City of Marquette,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,328.0
26,"City of Marquette,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,13
27,"City of Marquette,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,299"
28,"City of Marquette,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
29,"City of Marquette,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,1.0
30,"City of Marquette,Precinct 4",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,030"
31,"City of Marquette,Precinct 4",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,331.0
32,"City of Marquette,Precinct 4",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,11
33,"City of Marquette,Precinct 4",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,372"
34,"City of Marquette,Precinct 4",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
35,"City of Marquette,Precinct 4",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,2.0
36,"City of Marquette,Precinct 5",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,102"
37,"City of Marquette,Precinct 5",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,284.0
38,"City of Marquette,Precinct 5",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,19
39,"City of Marquette,Precinct 5",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,405"
40,"City of Marquette,Precinct 5",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
41,"City of Marquette,Precinct 5",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,2.0
42,"City of Marquette,Precinct 6",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,943
43,"City of Marquette,Precinct 6",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,315.0
44,"City of Marquette,Precinct 6",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,20
45,"City of Marquette,Precinct 6",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,278"
46,"City of Marquette,Precinct 6",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
47,"City of Marquette,Precinct 6",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,6.0
48,"City of Marquette,Precinct 7",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,347"
49,"City of Marquette,Precinct 7",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,391.0
50,"City of Marquette,Precinct 7",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,23
51,"City of Marquette,Precinct 7",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,761"
52,"City of Marquette,Precinct 7",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
53,"City of Marquette,Precinct 7",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,7.0
54,"City of Negaunee,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,760
55,"City of Negaunee,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,454.0
56,"City of Negaunee,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,15
57,"City of Negaunee,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,229"
58,"City of Negaunee,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
59,"City of Negaunee,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,3.0
60,"City of Negaunee,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,896
61,"City of Negaunee,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,410.0
62,"City of Negaunee,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,16
63,"City of Negaunee,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,322"
64,"City of Negaunee,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
65,"City of Negaunee,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,1.0
66,"Champion Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,96
67,"Champion Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,69.0
68,"Champion Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,2
69,"Champion Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,167
70,"Champion Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
71,"Champion Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
